"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1";"Socket_Strip_Angled_2x20_Pitch2.54mm";1;"RPi_GPIO";;;
2;"P1";"card_edge_connector";1;"CONN_02X25";;;
3;"C1";"CP_Elec_4x4.5";1;"CP";;;
4;"C2";"C_0603_HandSoldering";1;"C";;;
5;"D1";"LED_RGB_5050-6";1;"LED_RGB";;;
6;"R1,R2,R3,R4,R5";"R_0603_HandSoldering";5;"R";;;
7;"U1,U2,U4";"SOIC-20W_7.5x12.8mm_Pitch1.27mm";3;"74HC244";;;
8;"U3";"SOIC-14_3.9x8.7mm_Pitch1.27mm";1;"74LS07";;;
9;"U5";"SOIC-24W_7.5x15.4mm_Pitch1.27mm";1;"LVC4245";;;
10;"J2";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Conn_01x04";;;
11;"G2";"LOGO";1;"LOGO";;;
12;"G3";"raspberry_pi_logo";1;"LOGO";;;
13;"G1";"srxg10";1;"LOGO";;;
